date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Nov 5, 2004",IND (2-0) T1,MIA (2-0) T1,ORL (2-0) T1,TOR (2-0) T1,WAS (2-0) T1,DET (1-1) T6,NJN (1-1) T6,PHI (1-1) T6,ATL (0-2) T9,BOS (0-2) T9,CHA (0-1) T9,CHI (0-1) T9,CLE (0-2) T9,MIL (0-1) T9,NYK (0-1) T9,2005
"Nov 6, 2004",IND (3-0) T1,MIA (3-0) T1,TOR (2-0) T1,DET (2-1) T4,ORL (2-1) T4,WAS (2-1) T4,CHA (1-1) T7,MIL (1-1) T7,BOS (1-2) T9,NJN (1-2) T9,PHI (1-2) T9,ATL (0-2) T12,CHI (0-2) T12,CLE (0-3) T12,NYK (0-2) T12,2005
"Nov 7, 2004",IND (3-0) T1,MIA (3-0) T1,TOR (3-0) T1,DET (2-1) T4,ORL (2-1) T4,WAS (2-1) T4,CHA (1-1) T7,MIL (1-1) T7,BOS (1-2) T9,NJN (1-2) T9,PHI (1-2) T9,ATL (0-3) T12,CHI (0-2) T12,CLE (0-3) T12,NYK (0-2) T12,2005
"Nov 8, 2004",IND (3-0) T1,MIA (3-0) T1,TOR (3-0) T1,DET (3-1),ORL (2-1) T5,WAS (2-1) T5,CHA (1-1) T7,MIL (1-1) T7,BOS (1-2) T9,NJN (1-2) T9,PHI (1-2) T9,ATL (0-3) T12,CHI (0-2) T12,CLE (0-3) T12,NYK (0-2) T12,2005
"Nov 9, 2004",IND (4-0) T1,MIA (4-0) T1,DET (3-1) T3,ORL (3-1) T3,TOR (3-1) T3,NJN (2-2) T6,WAS (2-2) T6,CHA (1-1) T6,MIL (1-1) T6,BOS (1-2) T10,NYK (1-2) T10,CLE (1-3) T12,PHI (1-3) T12,ATL (0-4) T14,CHI (0-3) T14,2005
"Nov 10, 2004",MIA (4-0),IND (4-1) T2,TOR (4-1) T2,DET (3-1),MIL (2-1),ORL (3-2) T6,WAS (3-2) T6,BOS (2-2),CLE (2-3) T9,NJN (2-3) T9,PHI (2-3) T9,CHA (1-2) T12,NYK (1-2) T12,ATL (0-4) T14,CHI (0-3) T14,2005
"Nov 11, 2004",IND (4-1) T1,MIA (4-1) T1,TOR (4-1) T1,MIL (2-1),DET (3-2) T5,ORL (3-2) T5,WAS (3-2) T5,BOS (2-2),CLE (2-3) T9,NJN (2-3) T9,PHI (2-3) T9,CHA (1-2) T12,NYK (1-2) T12,ATL (0-4) T14,CHI (0-3) T14,2005
"Nov 12, 2004",IND (4-2) T1,MIA (4-2) T1,ORL (4-2) T1,TOR (4-2) T1,MIL (2-1) T1,BOS (3-2) T6,DET (3-2) T6,WAS (3-2) T6,PHI (3-3) T9,NYK (2-2) T9,CLE (2-3) T11,NJN (2-3) T11,CHA (1-3),ATL (1-4),CHI (0-3),2005
"Nov 13, 2004",MIL (3-1),IND (5-2),MIA (4-2) T3,ORL (4-2) T3,BOS (3-2),TOR (4-3),CLE (3-3) T7,DET (3-3) T7,PHI (3-3) T7,WAS (3-3) T7,NYK (2-3),NJN (2-4),CHA (1-4),ATL (1-5),CHI (0-4),2005
"Nov 14, 2004",IND (5-2) T1,MIA (5-2) T1,BOS (3-2) T3,MIL (3-2) T3,ORL (4-3) T5,PHI (4-3) T5,TOR (4-3) T5,CLE (3-3) T8,DET (3-3) T8,WAS (3-4),NYK (2-3),NJN (2-4),CHA (1-4),ATL (1-5),CHI (0-4),2005
