date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Nov 3, 2004",DAL (2-0) T1,LAC (1-0) T1,MIN (1-0) T1,PHO (1-0) T1,POR (1-0) T1,SAS (1-0) T1,UTA (1-0) T1,LAL (1-1),DEN (0-1) T9,GSW (0-1) T9,HOU (0-2) T9,MEM (0-1) T9,NOH (0-1) T9,SAC (0-2) T9,SEA (0-1) T9,2005
"Nov 4, 2004",DAL (2-0) T1,LAC (1-0) T1,PHO (1-0) T1,POR (1-0) T1,SAS (1-0) T1,UTA (1-0) T1,DEN (1-1) T7,LAL (1-1) T7,MIN (1-1) T7,GSW (0-1) T10,HOU (0-2) T10,MEM (0-1) T10,NOH (0-1) T10,SAC (0-2) T10,SEA (0-1) T10,2005
"Nov 5, 2004",DAL (2-0) T1,PHO (2-0) T1,POR (2-0) T1,SAS (2-0) T1,UTA (2-0) T1,DEN (1-1) T6,LAC (1-1) T6,MIN (1-1) T6,SEA (1-1) T6,HOU (1-2) T10,LAL (1-2) T10,GSW (0-2) T12,MEM (0-2) T12,NOH (0-2) T12,SAC (0-2) T12,2005
"Nov 6, 2004",DAL (3-0) T1,PHO (3-0) T1,UTA (3-0) T1,POR (2-0) T1,SAS (2-0) T1,LAC (2-1) T6,MIN (2-1) T6,HOU (2-2) T8,SEA (1-1) T8,DEN (1-2) T10,LAL (1-2) T10,GSW (0-3) T12,MEM (0-3) T12,NOH (0-3) T12,SAC (0-3) T12,2005
"Nov 7, 2004",DAL (3-0) T1,PHO (3-0) T1,UTA (3-0) T1,LAC (2-1) T4,MIN (2-1) T4,POR (2-1) T4,SAS (2-1) T4,SEA (2-1) T4,HOU (2-2) T9,LAL (2-2) T9,DEN (1-2),GSW (0-3) T12,MEM (0-3) T12,NOH (0-3) T12,SAC (0-3) T12,2005
"Nov 8, 2004",DAL (4-0) T1,UTA (4-0) T1,PHO (3-0) T1,MIN (2-1) T4,POR (2-1) T4,SAS (2-1) T4,SEA (2-1) T4,HOU (2-2) T8,LAC (2-2) T8,LAL (2-2) T8,DEN (1-3),GSW (0-4) T12,MEM (0-3) T12,NOH (0-3) T12,SAC (0-3) T12,2005
"Nov 9, 2004",PHO (4-0) T1,UTA (4-0) T1,DAL (4-1),SEA (3-1),SAS (2-1),HOU (3-2) T6,LAL (3-2) T6,LAC (2-2) T8,MIN (2-2) T8,POR (2-2) T8,SAC (1-3),DEN (1-4),GSW (0-4) T13,MEM (0-4) T13,NOH (0-4) T13,2005
"Nov 10, 2004",DAL (4-1) T1,PHO (4-1) T1,SEA (4-1) T1,UTA (4-1) T1,SAS (3-1),HOU (3-2) T6,LAC (3-2) T6,LAL (3-3) T8,MIN (2-2) T8,POR (2-3),DEN (1-4) T11,MEM (1-4) T11,SAC (1-4) T11,GSW (0-5) T14,NOH (0-4) T14,2005
"Nov 11, 2004",DAL (5-1),PHO (4-1) T2,SEA (4-1) T2,UTA (4-1) T2,SAS (3-1),LAC (3-2) T6,MIN (3-2) T6,HOU (3-3) T8,LAL (3-3) T8,POR (2-3),DEN (2-4),MEM (1-4) T12,SAC (1-4) T12,GSW (0-5) T14,NOH (0-4) T14,2005
"Nov 12, 2004",DAL (5-1) T1,SEA (5-1) T1,PHO (4-1) T3,SAS (4-1) T3,UTA (4-1) T3,MIN (3-2),HOU (3-3) T7,LAC (3-3) T7,LAL (3-4),POR (2-3),DEN (2-4) T11,MEM (2-4) T11,SAC (1-4),GSW (0-6) T14,NOH (0-5) T14,2005
"Nov 13, 2004",DAL (6-1),SAS (5-1) T2,SEA (5-1) T2,UTA (5-1) T2,PHO (4-2),MIN (3-2),LAC (4-3),LAL (4-4) T8,POR (3-3) T8,HOU (3-4),DEN (2-4) T11,MEM (2-4) T11,SAC (2-4) T11,GSW (1-6),NOH (0-6),2005
"Nov 14, 2004",DAL (7-1),SEA (6-1),SAS (5-1) T3,UTA (5-1) T3,PHO (4-2),MIN (3-2),LAC (4-3),LAL (4-4) T8,POR (3-3) T8,HOU (3-4) T10,SAC (3-4) T10,DEN (2-5) T12,MEM (2-5) T12,GSW (1-6),NOH (0-6),2005
"Nov 15, 2004",DAL (7-1),SEA (6-1),SAS (5-1) T3,UTA (5-1) T3,PHO (4-2),MIN (3-2),LAC (4-3),HOU (4-4) T8,LAL (4-4) T8,POR (3-3) T8,SAC (3-4),DEN (2-5) T12,MEM (2-5) T12,GSW (1-7),NOH (0-6),2005
"Nov 16, 2004",SEA (7-1),SAS (6-1) T2,UTA (6-1) T2,DAL (7-2),PHO (5-2),MIN (4-2),LAC (5-3),LAL (4-4) T8,SAC (4-4) T8,POR (3-3) T8,HOU (4-5),DEN (2-5) T12,MEM (2-5) T12,GSW (1-7),NOH (0-6),2005
"Nov 17, 2004",SEA (8-1),SAS (6-1),DAL (7-2),PHO (6-2) T4,UTA (6-2) T4,MIN (4-3),LAC (5-4) T7,LAL (5-4) T7,SAC (4-4),HOU (4-5),POR (3-4),DEN (3-5) T12,MEM (3-5) T12,GSW (2-7),NOH (0-7),2005
"Nov 18, 2004",SEA (8-1),SAS (7-1),DAL (7-2),PHO (6-2) T4,UTA (6-2) T4,MIN (4-3),LAC (5-4) T7,LAL (5-4) T7,SAC (4-4),POR (3-4),HOU (4-6),DEN (3-5) T12,MEM (3-5) T12,GSW (2-7),NOH (0-7),2005
"Nov 19, 2004",SEA (9-1),SAS (8-1),DAL (8-2),PHO (7-2),UTA (6-3),MIN (4-3),LAC (5-4) T7,SAC (5-4) T7,LAL (5-5) T9,POR (4-4) T9,DEN (4-5),HOU (4-6),MEM (3-6),GSW (2-7),NOH (0-7),2005
"Nov 20, 2004",SEA (9-1),SAS (8-1),DAL (8-2),PHO (7-2),UTA (7-3),MIN (5-3),SAC (5-4),LAC (5-5) T8,LAL (5-5) T8,POR (4-4) T8,HOU (5-6),DEN (4-5),MEM (4-6),GSW (2-8),NOH (0-8),2005
